FID,MA_tmp,MA_prp,Tundra
512,-13.4527998,21.5,Tundra
513,-14.7824001,18.8332996,Tundra
514,-14.2138004,12.25,Tundra
515,-12.7278996,29.0832996,Tundra
516,-14.9974003,14.8332996,Tundra
517,-18.8621998,26.3332996,OtherBiomes
518,-10.4230003,16.9167004,Tundra
519,-15.7939997,7.6666698,Tundra
520,-20.9860992,73.25,OtherBiomes
521,-8.184,20.5832996,Tundra
522,-13.9041004,18.9167004,Tundra
523,-14.7341995,16.6667004,Tundra
524,-12.6830997,24.9167004,Tundra
525,-21.1431999,29.4167004,OtherBiomes
526,-12.6906004,29.3332996,Tundra
527,-15.2884998,8.0833302,Tundra
528,-14.8107996,17.8332996,OtherBiomes
529,-12.9004002,28.3332996,Tundra
530,-13.1219997,11.25,Tundra
531,-13.6737003,22.3332996,Tundra
532,-15.1173,19.6667004,Tundra
533,-16.0112991,20.4167004,Tundra
534,-14.4502001,18.5,Tundra
535,-10.7182999,22.1667004,Tundra
536,-16.5198002,9.8333302,Tundra
537,-12.9764004,27.25,Tundra
538,-15.2580996,9.5833302,Tundra
539,-11.7890997,32.1666985,Tundra
540,-26.2145004,71.25,OtherBiomes
541,-14.3357,12.25,Tundra
542,-15.4722004,7.9166698,Tundra
543,-13.1893997,18,Tundra
544,-15.1742001,14.1667004,Tundra
545,-12.9806995,24.0832996,Tundra
546,-5.4975801,28.5,Tundra
547,-12.5376997,28.6667004,Tundra
548,-19.7255001,22.75,OtherBiomes
549,-16.8435001,9.5833302,Tundra
550,-9.7335997,21,Tundra
551,-12.3220997,29.3332996,Tundra
552,-13.6697998,28.6667004,Tundra
553,-13.5341997,23.0832996,Tundra
554,-13.8394003,21.0832996,Tundra
555,-9.0334196,19.4167004,Tundra
556,-10.7217999,22.25,Tundra
557,-14.3842001,17.4167004,Tundra
558,-13.7495003,19,Tundra
559,-12.3031998,29,Tundra
560,-13.0532999,11.5,Tundra
561,-14.1052999,18.0832996,Tundra
562,-15.0664997,68.0832977,Tundra
563,-9.9586697,21.1667004,Tundra
564,-10.1406002,20,Tundra
565,-13.7047005,20.5,Tundra
566,-14.7157001,60.9166985,OtherBiomes
567,-11.6534996,25.5832996,Tundra
568,-16.9113007,21.8332996,Tundra
569,-14.6803999,17.6667004,Tundra
570,-14.8738003,18.9167004,Tundra
571,-12.0181999,29.5,Tundra
572,-11.7543001,30,Tundra
573,-12.0895996,29.25,Tundra
574,-23.7535992,46.8333015,OtherBiomes
575,-9.9858303,55.5,Tundra
576,-12.9233999,26.6667004,Tundra
577,-12.3287001,56.4166985,Tundra
578,-14.8445997,13.3332996,Tundra
579,-15.1848001,17.1667004,Tundra
580,-12.9682999,66.0832977,Tundra
581,-12.9109001,26.8332996,Tundra
582,-14.6608,19.5,Tundra
583,-13.7067003,22.75,Tundra
584,-8.3819199,35.5833015,Tundra
585,-24.7103004,44.9166985,OtherBiomes
586,-13.9552002,12.6667004,Tundra
587,-26.3139992,83.1667023,OtherBiomes
588,-24.6028004,62.3333015,OtherBiomes
589,-13.8425999,21.8332996,Tundra
590,-16.9421997,9.0833302,Tundra
591,-11.8437004,31.5832996,Tundra
592,-12.9443998,27.25,Tundra
593,-12.7530003,27.75,Tundra
594,-13.7939997,13.75,Tundra
595,-11.2805996,30.8332996,Tundra
596,-27.0028,74.5832977,OtherBiomes
597,-14.9547997,20.25,Tundra
598,-13.8634996,51.8333015,OtherBiomes
599,-13.0080004,23.75,Tundra
600,-15.8388004,7.4166698,Tundra
601,-14.6983995,19.5832996,Tundra
602,-14.7734003,14.4167004,Tundra
603,-9.2761402,40.3333015,Tundra
604,-21.719101,40.3333015,OtherBiomes
605,-13.0100002,22.3332996,Tundra
606,-14.8129997,67.5,Tundra
607,-20.7250996,77.6667023,OtherBiomes
608,-14.5557003,17.0832996,Tundra
609,-26.8356991,80.3332977,OtherBiomes
610,-24.3008003,49,OtherBiomes
611,-12.3168001,13,Tundra
612,-11.0909004,17.4167004,OtherBiomes
613,-12.7223997,25.8332996,Tundra
614,-10.6652002,19.9167004,Tundra
615,-14.3508997,21.9167004,Tundra
616,-13.4851999,23.0832996,Tundra
617,-12.7502003,28.1667004,Tundra
618,-14.0157003,21.5,Tundra
619,-8.4710798,22.4167004,Tundra
620,-13.9301004,19.3332996,Tundra
621,-13.3063002,24.8332996,Tundra
622,-13.9061003,19,Tundra
623,-20.7348995,36.25,OtherBiomes
624,-15.1283998,19.75,Tundra
625,-14.9400997,18.6667004,Tundra
626,-10.7677002,23.0832996,Tundra
627,-14.3513002,18.75,Tundra
628,-14.6201,20.25,Tundra
629,-13.4516001,10.4167004,Tundra
630,-9.5823298,23.75,Tundra
631,-15.3144999,9.3333302,Tundra
632,-10.6648998,23.0832996,Tundra
633,-10.7552996,14.0832996,Tundra
634,-14.7403002,16.3332996,Tundra
635,-13.1152,24.75,OtherBiomes
636,-14.4904003,12.9167004,Tundra
637,-12.7451,13.8332996,Tundra
638,-15.2663002,24.6667004,Tundra
639,-16.1772995,12.5,Tundra
640,-14.5621004,24.75,Tundra
641,-0.606633,46.8333015,Tundra
642,-10.5131998,11.6667004,Tundra
643,-14.3077002,14.8332996,Tundra
644,-15.0970001,16.6667004,Tundra
645,-12.4289999,12.6667004,Tundra
646,-14.0192003,21.1667004,Tundra
647,-15.0272999,20.5832996,Tundra
648,-14.2158003,13.1667004,Tundra
649,-14.7020998,9.8333302,Tundra
650,-11.5934,29,Tundra
651,-11.4071999,34,Tundra
652,-14.4952002,75.75,Tundra
653,-22.3040009,66,OtherBiomes
654,-23.2674999,100,OtherBiomes
655,-20.4703007,85.4167023,OtherBiomes
656,-14.6434002,9.75,Tundra
657,-13.8570004,11.75,Tundra
658,-14.2523003,19.9167004,OtherBiomes
659,-17.2870007,21.0832996,Tundra
660,-12.4868002,22.6667004,OtherBiomes
661,-14.7263002,16.8332996,Tundra
662,-9.1769199,24,Tundra
663,-10.7601004,26.25,Tundra
664,-13.6781998,29.8332996,Tundra
665,-24.1285992,96.3332977,OtherBiomes
666,-13.0148001,17.6667004,Tundra
667,-14.7882004,19.0832996,Tundra
668,-14.1545,9.5833302,Tundra
669,-14.1976004,16.8332996,Tundra
670,-14.5317001,18.1667004,Tundra
