"","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs"
"618","SADVENT:MES_POINTFRAME:DCUA",11,8,1,0.571428571428571,0.159880133967918,1
"619","SADVENT:MES_POINTFRAME:DDUA",11,9,-2,0.285714285714286,0.494029850746269,2
"620","SADVENT:MES_POINTFRAME:DEUA",9,9,6,0,0.176470588235294,6
"621","SADVENT:MES_POINTFRAME:DFUA",11,9,-1,0.75,0.495934959349593,1
"622","LATNJA:POOR_HEATH:Clip 3 B",18,8,3,0,0.531818181818182,3
"623","LATNJA:POOR_HEATH:Clip 3 C1",6,8,1,0,0.135531135531135,1
"624","LATNJA:POOR_HEATH:Clip 3 C2",18,11,-3,0.5,0.181159420289855,3
"625","LATNJA:POOR_HEATH:Clip 3 C3",6,4,0,0,0.0917008196721312,0
"626","LATNJA:POOR_HEATH:Clip 4 B",18,10,-4,0,0.211538461538462,4
"627","LATNJA:POOR_HEATH:Clip 4 C1",6,8,1,0,0.119433198380567,1
"628","LATNJA:POOR_HEATH:Clip 4 C2",6,6,0,0.333333333333333,0.24113475177305,0
"629","LATNJA:POOR_HEATH:Clip 4 C3",18,8,-2,0.333333333333333,0.343577620173365,2
"630","LATNJA:RICH_MEADOW:Clip 1 B",18,15,-1,0.142857142857143,0.374426807760141,1
"631","LATNJA:RICH_MEADOW:Clip 1 C1",6,13,3,0,0.188644688644689,3
"632","LATNJA:RICH_MEADOW:Clip 1 C2",6,13,-1,0.333333333333333,0.268771929824561,1
"633","LATNJA:RICH_MEADOW:Clip 1 C3",18,15,-1,0.428571428571429,0.183388157894737,1
"634","LATNJA:RICH_MEADOW:Clip 2 B",18,17,1,0.375,0.502423603793467,1
"635","LATNJA:RICH_MEADOW:Clip 2 C1",6,20,0,0.4,0.292780748663102,0
"636","LATNJA:RICH_MEADOW:Clip 2 C2",18,23,-2,0.285714285714286,0.404201680672269,2
"637","LATNJA:RICH_MEADOW:Clip 2 C3",6,15,-1,0.428571428571429,0.215473145780051,1
"638","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_11",10,8,1,0.285714285714286,0.0799120234604105,1
"639","TOOLIK:MOIST:17",14,12,0,0.166666666666667,0.255273013995663,0
"640","KANGER:DOPEY:B_GRAZED",13,6,1,0.4,0.391025641025641,1
"641","KANGER:SNEEZY:A_GRAZED",13,3,1,0,0.042063492063492,1
"642","KANGER:SNEEZY:G_GRAZED",11,3,0,0,0.186630036630037,0
"643","ZACKENBERG:ABRASION PLATEAU:A1",11,4,0,0.5,0.35,0
"644","ZACKENBERG:ABRASION PLATEAU:A2",11,3,1,0,0.2,1
"645","ZACKENBERG:ABRASION PLATEAU:A5",11,5,1,0.5,0.15,1
"646","ZACKENBERG:CASSIOPE TETRAGONA HEATH:C2",11,3,1,0,0.0350601779173208,1
"647","ZACKENBERG:CASSIOPE TETRAGONA HEATH:C3",11,4,1,0,0.0285714285714285,1
"648","ZACKENBERG:CASSIOPE TETRAGONA HEATH:C4",11,5,3,0,0.105263157894737,3
"649","ZACKENBERG:FEN:F1",11,8,-4,0.5,0.436170212765957,4
"650","ZACKENBERG:FEN:F2",11,6,2,0.5,0.356503198294243,2
"651","ZACKENBERG:FEN:F3",11,4,2,0,0.401515151515151,2
"652","ZACKENBERG:FEN:F4",11,3,0,0.666666666666667,0.192307692307692,0
"653","ZACKENBERG:FEN:F5",11,4,1,0.666666666666667,0.175,1
"654","ZACKENBERG:GRASSLAND:G1",11,5,-1,0,0.202352941176471,1
"655","ZACKENBERG:GRASSLAND:G2",11,4,1,0,0.104037267080745,1
"656","ZACKENBERG:GRASSLAND:G3",11,3,0,0,0.128482972136223,0
